,index,school_district,avg_rating,total_enrollment,num_schools,avg_pct_low_income,state,first_word,school_district_id,GEOID
48,456,Banks County,5.3,2750,3,59.2,GA,Banks,Banks County School District,1300240
49,141,Barrow County,5.7,14057,16,62.9,GA,Barrow,Barrow County School District,1300290
50,149,Bartow County,5.0,13432,19,57.5,GA,Bartow,Bartow County School District,1300330
51,423,Ben Hill County,3.0,3125,4,92.0,GA,Ben Hill ,Ben Hill County School District,1300360
52,421,Berrien County,5.2,3161,5,83.6,GA,Berrien,Berrien County School District,1300390
53,92,Bibb County,4.0,23910,38,96.5,GA,Bibb,Bibb County School District,1300420
54,471,Bleckley County,5.0,2568,5,74.4,GA,Bleckley,Bleckley County School District,1300440
55,405,Brantley County,7.0,3455,7,85.1,GA,Brantley,Brantley County School District,1300480
56,495,Bremen City,7.8,2296,4,19.8,GA,Bremen,Bremen City School District,1300510
57,513,Brooks County,2.6,2168,6,98.8,GA,Brooks,Brooks County School District,1300540
58,195,Bryan County,5.9,9634,10,43.0,GA,Bryan,Bryan County School District,1300570
59,318,Buford City,7.7,4966,4,35.2,GA,Buford,Buford City School District,1300600
60,183,Bulloch County,4.8,10646,15,60.3,GA,Bulloch,Bulloch County School District,1300630
61,404,Butts County,3.8,3481,5,89.0,GA,Butts,Butts County School District,1300690
62,457,Candler County,4.7,2749,4,90.0,GA,Candler,Candler County School District,1300810
63,335,Cartersville City,6.0,4540,4,52.5,GA,Cartersville,Cartersville City School District,1300900
64,181,Catoosa County,5.7,10753,15,50.4,GA,Catoosa,Catoosa County School District,1300930
65,554,Charlton County,5.5,1721,4,68.8,GA,Charlton,Charlton County School District,1300990
66,671,Chattahoochee County,4.7,918,3,73.7,GA,Chattahoochee,Chattahoochee County School District,1301050
67,459,Chattooga County,5.0,2713,6,68.7,GA,Chattooga,Chattooga County School District,1301080
68,605,Chickamauga City,7.7,1315,3,20.7,GA,Chickamauga,Chickamauga City School District,1301140
69,594,Clinch County,4.0,1352,4,84.0,GA,Clinch,Clinch County School District,1301260
70,14,Cobb County,6.3,112886,111,45.1,GA,Cobb,Cobb County School District,1301290
71,242,Coffee County,5.5,7724,11,87.0,GA,Coffee,Coffee County School District,1301350
72,197,Colquitt County,4.0,9578,14,95.1,GA,Colquitt,Colquitt County School District,1301380
73,556,Commerce City,5.7,1704,4,54.8,GA,Commerce,Commerce City School District,1301440
74,422,Cook County,4.3,3134,4,80.2,GA,Cook,Cook County School District,1301470
75,551,Crawford County,4.0,1731,3,92.0,GA,Crawford,Crawford County School District,1301530
76,374,Crisp County,3.8,3951,5,55.0,GA,Crisp,Crisp County School District,1301560
77,235,Dalton Public Schools,5.4,7921,9,77.1,GA,Dalton,Dalton City School District,1301620
78,397,Dawson County,6.4,3590,6,44.0,GA,Dawson,Dawson County School District,1301650
79,17,DeKalb County,4.8,99414,125,73.3,GA,DeKalb,DeKalb County School District,1301740
80,427,Dodge County,4.8,3083,5,84.4,GA,Dodge,Dodge County School District,1301770
81,624,Dooly County,2.7,1233,4,55.3,GA,Dooly,Dooly County School District,1301800
82,129,Dougherty County,3.8,15359,22,100.0,GA,Dougherty,Dougherty School District,1301830
83,83,Douglas County,5.6,26555,33,66.3,GA,Douglas,Douglas County School District,1301860
84,487,Dublin City,3.5,2363,5,100.0,GA,Dublin,Dublin City School District,1301870
85,263,Laurens County,5.9,6594,8,75.6,GA,Laurens,Laurens County School District,1301890
86,529,Early County,3.3,2015,3,97.0,GA,Early,Early County School District,1301920
87,678,Echols County,5.0,873,2,91.0,GA,Echols,Echols County School District,1301950
88,156,Effingham County,6.8,12735,12,40.3,GA,Effingham,Effingham County School District,1301980
89,431,Elbert County,3.0,3047,5,85.6,GA,Elbert,Elbert County School District,1302010
90,350,Emanuel County,4.0,4284,7,87.0,GA,Emanuel,Emanuel County School District,1302040
91,540,Evans County,3.7,1897,4,100.0,GA,Evans,Evans County School District,1302070
92,437,Fannin County,5.4,2991,5,58.8,GA,Fannin,Fannin County School District,1302100
93,18,Fulton County,5.9,94491,101,50.5,GA,Fulton,Fulton County School District,1302280
94,232,Gainesville City,3.8,8042,8,71.5,GA,Gainesville,Gainesville City School District,1302310
95,151,Glynn County,6.0,13290,18,65.0,GA,Glynn,Glynn County School District,1302400
96,255,Gordon County,5.7,6953,11,62.6,GA,Gordon,Gordon County School District,1302430
97,328,Grady County,3.7,4669,7,90.0,GA,Grady,Grady County School District,1302460
98,185,Griffin-Spalding County,4.2,10353,19,76.7,GA,Spalding,Spalding County School District,1302520
99,6,Gwinnett County,6.7,179758,135,54.5,GA,Gwinnett,Gwinnett County School District,1302550
100,256,Habersham County,6.2,6928,13,62.4,GA,Habersham,Habersham County School District,1302580
101,80,Hall County,4.9,27057,37,56.3,GA,Hall,Hall County School District,1302610
102,409,Haralson County,5.8,3360,7,71.0,GA,Haralson,Haralson County School District,1302670
103,297,Harris County,5.7,5448,7,34.9,GA,Harris,Harris County School District,1302700
104,400,Hart County,5.0,3564,5,60.6,GA,Hart,Hart County School District,1302730
105,518,Heard County,5.8,2109,5,58.2,GA,Heard,Heard County School District,1302790
106,72,Houston County,6.1,29770,37,65.1,GA,Houston,Houston County School District,1302880
107,555,Irwin County,4.7,1719,3,80.0,GA,Irwin,Irwin County School District,1302910
108,426,Jeff Davis County,5.3,3099,4,77.5,GA,Jeff,Jeff Davis County School District,1303000
109,634,Jenkins County,4.3,1163,3,100.0,GA,Jenkins,Jenkins County School District,1303090
110,643,Johnson County,4.7,1122,3,90.0,GA,Johnson,Johnson County School District,1303120
111,461,Lamar County,3.3,2675,4,68.2,GA,Lamar,Lamar County School District,1303210
112,553,Lanier County,4.7,1725,4,96.0,GA,Lanier,Lanier County School District,1303240
113,333,Long County,5.0,4571,5,75.0,GA,Long,Long County School District,1303360
114,182,Lowndes County,6.4,10657,11,53.5,GA,Lowndes,Lowndes County School District,1303390
115,380,Lumpkin County,6.2,3854,5,49.4,GA,Lumpkin,Lumpkin County School District,1303420
116,213,Marietta City,5.5,8772,13,51.1,GA,Marietta,Marietta City School District,1303510
117,384,McDuffie County,3.2,3810,6,88.3,GA,McDuffie,McDuffie County School District,1303570
118,601,McIntosh County,3.7,1323,3,85.7,GA,McIntosh,McIntosh County School District,1303600
119,473,Meriwether County,3.3,2557,7,92.0,GA,Meriwether,Meriwether County School District,1303630
120,670,Miller County,4.0,922,3,91.0,GA,Miller,Miller County School District,1303660
121,249,Murray County,4.3,7266,11,74.6,GA,Murray,Murray County School District,1303840
122,66,Muscogee County,4.6,31859,50,81.4,GA,Muscogee,Muscogee County School District,1303870
123,520,Oglethorpe County,6.0,2102,4,60.5,GA,Oglethorpe,Oglethorpe County School District,1303990
124,70,Paulding County,6.2,29962,31,45.5,GA,Paulding,Paulding County School District,1304020
125,398,Peach County,4.7,3586,6,88.0,GA,Peach,Peach County School District,1304050
126,587,Pelham City,3.7,1431,3,100.0,GA,Pelham,Pelham City School District,1304080
127,393,Pierce County,6.6,3622,5,60.2,GA,Pierce,Pierce County School District,1304140
128,416,Pike County,4.2,3286,5,36.4,GA,Pike,Pike County School District,1304170
129,502,Rabun County,7.3,2235,4,64.5,GA,Rabun,Rabun County School District,1304320
130,610,Richmond Co Public Schools,5.5,1314,3,74.0,VA,Richmond,Richmond County School District,1304380
131,120,Rockdale County,4.8,16828,19,71.6,GA,Rockdale,Rockdale County School District,1304410
132,260,Rome City,4.5,6752,9,93.0,GA,Rome,Rome City School District,1304440
133,613,Schley County,6.0,1307,2,52.0,GA,Schley,Schley County School District,1304470
134,494,Screven County,6.0,2307,3,79.0,GA,Screven,Screven County School District,1304500
135,547,Social Circle City,5.0,1788,4,44.2,GA,Social,Social Circle City School District,1304540
136,376,Stephens County,4.5,3933,6,68.8,GA,Stephens,Stephens County School District,1304560
137,377,Tattnall County,4.7,3910,7,90.1,GA,Tattnall,Tattnall County School District,1304770
138,552,Telfair County,4.0,1728,4,96.2,GA,Telfair,Telfair County School District,1304830
139,618,Terrell County,3.3,1278,3,100.0,GA,Terrell,Terrell County School District,1304860
140,285,Thomas County,4.8,5835,7,77.9,GA,Thomas,Thomas County School District,1304890
141,238,Tift County,3.7,7887,12,96.0,GA,Tift,Tift County School District,1304980
142,438,Toombs County,5.0,2949,5,100.0,GA,Toombs,Toombs County School District,1305040
143,664,Towns County,7.3,952,3,47.3,GA,Towns,Towns County School District,1305070
144,641,Treutlen County,3.0,1122,2,100.0,GA,Treutlen,Treutlen County School District,1305100
145,590,Trion City,8.0,1400,3,52.0,GA,Trion,Trion City School District,1305130
146,622,Turner County,3.3,1238,4,99.2,GA,Turner,Turner County School District,1305190
147,703,Twiggs County,3.3,790,3,100.0,GA,Twiggs,Twiggs County School District,1305220
148,363,Thomaston-Upson County,4.7,4089,4,85.8,GA,Upson,Upson County School District,1305280
149,219,Valdosta City,3.9,8472,8,100.0,GA,Valdosta,Valdosta City School District,1305310
150,470,Vidalia City,4.0,2577,4,82.5,GA,Vidalia,Vidalia City School District,1305340
151,215,Walker County,5.3,8677,15,71.8,GA,Walker,Walker County School District,1305370
152,270,Ware County,5.3,6153,8,86.4,GA,Ware,Ware County School District,1305430
153,606,Webster County Schools,4.2,1315,4,69.8,WV,Webster,Webster County School District,1305580
154,658,Wheeler County,4.0,1007,3,100.0,GA,Wheeler,Wheeler County School District,1305640
155,358,White County,7.0,4160,7,55.0,GA,White,White County School District,1305670
156,153,Whitfield County,6.0,12964,21,69.1,GA,Whitfield,Whitfield County School District,1305700
157,630,Wilcox County,5.3,1201,3,94.0,GA,Wilcox,Wilcox County School District,1305730
158,604,Wilkinson County,3.3,1318,4,59.8,GA,Wilkinson,Wilkinson County School District,1305790
159,418,Worth County,3.7,3248,5,93.0,GA,Worth,Worth County School District,1305850
160,218,Allegany County Public Schools,6.3,8539,21,58.2,MD,Allegany,Allegany County Public Schools,2400030
161,21,Anne Arundel County Public Schools,5.6,83300,112,35.3,MD,Anne,Anne Arundel County Public Schools,2400060
162,23,Baltimore City Public Schools,3.2,81426,149,99.8,MD,,,2400090
163,13,Baltimore County Public Schools,4.8,113374,154,50.8,MD,,,2400120
164,127,Calvert County Public Schools,6.9,15900,24,23.8,MD,Calvert,Calvert County Public Schools,2400150
165,286,Caroline County Public Schools,5.6,5829,10,56.2,MD,,,2400180
166,87,Carroll County Public Schools,7.7,25137,42,23.2,MD,,,2400210
167,132,Cecil County Public Schools,5.5,15307,29,46.2,MD,Cecil,Cecil County Public Schools,2400240
168,79,Charles County Public Schools,5.3,27108,38,38.0,MD,,,2400270
169,324,Dorchester County Public Schools,4.7,4785,12,100.0,MD,,,2400300
170,46,Frederick County Public Schools,7.1,42638,64,29.2,MD,,,2400330
171,378,Garrett County Public Schools,5.3,3874,13,46.2,MD,Garrett,Garrett County Public Schools,2400360
172,59,Harford County Public Schools,6.1,37705,50,34.5,MD,Harford,Harford County Public Schools,2400390
173,32,Howard County Public Schools,6.7,58733,73,22.3,MD,,,2400420
174,490,Kent County Public Schools,4.0,2339,7,52.3,MD,Kent,Kent County Public Schools,2400450
175,8,Montgomery County Public Schools,6.0,153187,173,36.3,MD,,,2400480
176,11,Prince George's County Public Schools,4.1,133337,181,66.1,MD,Prince,Prince George's County Public Schools,2400510
177,241,Queen Anne's County Public Schools,6.8,7749,14,26.4,MD,Queen,Queen Annes County Public Schools,2400540
178,410,Somerset County Public Schools,4.8,3350,10,100.0,MD,Somerset,Somerset County Public Schools,2400570
179,327,Talbot County Public Schools,5.6,4674,7,45.9,MD,Talbot County,Talbot County Public Schools,2400630
180,135,Wicomico County Public Schools,4.9,14949,25,63.1,MD,Wicomico,Wicomico County Public Schools,2400690
181,259,Worcester County Public Schools,6.9,6753,13,46.8,MD,Worcester,Worcester County Public Schools,2400720
182,38,Cumberland County Schools,4.6,50879,82,81.1,NC,,,3700011
183,95,Pitt County Schools,4.9,23630,37,72.5,NC,Pitt,Pitt County Schools,3700012
184,98,Alamance-Burlington Schools,4.3,23076,36,64.1,NC,Alamance-Burlington,Alamance-Burlington Schools,3700030
185,323,Alexander County Schools,6.4,4865,11,47.3,NC,Alexander,Alexander County Schools,3700090
186,589,Alleghany County Schools,6.5,1416,4,60.2,NC,,,3700120
187,415,Anson County Schools,4.4,3298,11,97.9,NC,Anson,Anson County Schools,3700180
188,430,Ashe County Schools,7.0,3049,6,54.7,NC,Ashe,Ashe County Schools,3700210
189,338,Asheboro City Schools,4.8,4485,8,76.9,NC,Asheboro,Asheboro City Schools,3700240
190,341,Asheville City Schools,5.3,4435,10,38.8,NC,Asheville,Asheville City Schools,3700270
191,531,Avery County Schools,7.0,1998,11,54.4,NC,Avery,Avery County Schools,3700300
192,261,Beaufort County Schools,4.8,6605,14,95.4,NC,,,3700330
193,489,Bertie County Schools,4.4,2345,8,98.5,NC,Bertie,Bertie County Schools,3700360
194,336,Bladen County Schools,3.8,4533,14,98.3,NC,Bladen,Bladen County Schools,3700390
195,160,Brunswick County Schools,5.2,12531,18,66.3,NC,,,3700420
196,93,Buncombe County Schools,5.3,23677,41,54.9,NC,Buncombe,Buncombe County Schools,3700450
197,159,Burke County Schools,6.0,12541,26,60.2,NC,,,3700480
198,63,Cabarrus County Schools,6.7,33089,39,46.4,NC,,,3700530
199,170,Caldwell County Schools,5.3,11621,26,65.0,NC,Caldwell,Caldwell County Schools,3700580
200,541,Camden County Schools,5.0,1892,5,21.8,NC,,,3700600
201,228,Carteret County Public Schools,7.2,8206,18,60.4,NC,Carteret,Carteret County Schools,3700630
202,475,Caswell County Schools,4.0,2530,6,85.7,NC,Caswell,Caswell County Schools,3700660
203,125,Catawba County Schools,5.9,16038,27,50.1,NC,Catawba,Catawba County Schools,3700690
204,164,Chapel Hill-Carrboro City Schools,6.1,12422,20,28.6,NC,Chapel Hill-Carrboro,Chapel Hill-Carrboro Schools,3700720
205,203,Chatham County Schools,5.3,9078,18,48.4,NC,,,3700750
206,413,Cherokee County Schools,5.8,3323,13,76.2,NC,,,3700780
207,528,Edenton-Chowan Schools,5.3,2015,4,61.5,NC,Edenton-Chowan,Edenton-Chowan Schools,3700840
208,419,Clay County Schools,5.7,3208,9,61.9,WV,,,3700870
209,136,Cleveland County Schools,5.6,14709,28,78.6,NC,Cleveland,Cleveland County Schools,3700900
210,429,Clinton City Schools,5.2,3063,5,99.4,NC,Clinton,Clinton City Schools,3700930
211,284,Columbus County Schools,4.3,5865,17,98.7,NC,,,3700960
212,362,Currituck County Schools,5.5,4117,10,30.9,NC,Currituck,Currituck County Schools,3701080
213,302,Dare County Schools,6.5,5285,10,39.0,NC,Dare,Dare County Schools,3701110
214,111,Davidson County Schools,5.7,18974,35,45.6,NC,,,3701140
215,272,Davie County Schools,6.3,6108,12,48.8,NC,Davie,Davie County Schools,3701170
216,179,Duplin County Schools,4.6,10800,16,99.4,NC,Duplin,Duplin County Schools,3701200
217,65,Durham Public Schools,4.8,32727,52,64.3,NC,Durham Public,Durham Public Schools,3701260
218,278,Edgecombe County Public Schools,3.9,5998,14,93.3,NC,Edgecombe,Edgecombe County Schools,3701320
219,631,Elkin City Schools,7.3,1193,3,39.0,NC,Elkin,Elkin City Schools,3701380
220,227,Franklin County Schools,4.8,8211,16,62.1,NC,,,3701530
221,68,Gaston County Schools,5.2,31330,52,63.6,NC,,,3701620
222,558,Gates County Schools,5.0,1691,5,51.8,NC,Gates,Gates County Schools,3701680
223,633,Graham County Schools,5.0,1169,3,61.3,NC,Graham,Graham County Schools,3701770
224,245,Granville County Schools,3.8,7526,19,59.8,NC,Granville,Granville County Schools,3701800
225,442,Greene County Schools,4.2,2917,6,99.2,NC,,,3701830
226,27,Guilford County Schools,4.9,72567,118,69.8,NC,Guilford,Guilford County Schools,3701920
227,477,Halifax County Schools,4.0,2487,9,98.3,NC,,,3701950
228,104,Harnett County Schools,4.4,20564,28,66.2,NC,Harnett,Harnett County Schools,3702010
229,251,Haywood County Schools,5.8,7226,15,59.7,NC,Haywood,Haywood County Schools,3702040
230,150,Henderson County Schools,6.4,13378,23,53.0,NC,,,3702100
231,450,Hertford County Schools,3.5,2865,7,98.7,NC,Hertford,Hertford County Schools,3702160
232,356,Hickory City Schools,4.1,4179,9,65.4,NC,Hickory,Hickory City Schools,3702190
233,205,Hoke County Schools,5.2,9026,14,78.6,NC,Hoke,Hoke County Schools,3702250
234,757,Hyde County Schools,5.3,606,3,87.3,NC,Hyde,Hyde County Schools,3702280
235,105,Iredell-Statesville Schools,5.7,20543,38,45.3,NC,Iredell-Statesville,Iredell-Statesville Schools,3702310
236,332,Jackson County Schools,6.5,4589,13,45.5,WV,,,3702340
237,642,Jones County Schools,5.0,1122,7,96.5,NC,,,3702400
238,269,Kannapolis City Schools,3.9,6323,9,99.3,NC,Kannapolis,Kannapolis City Schools,3702430
239,192,Lee County Schools,5.2,9876,14,68.9,NC,,,3702560
240,216,Lenoir County Public Schools,4.0,8630,17,98.8,NC,Lenoir,Lenoir County Schools,3702610
241,432,Lexington City Schools,3.8,3043,6,98.8,NC,Lexington,Lexington City Schools,3702640
242,131,Lincoln County Schools,5.2,15328,32,55.0,NC,,,3702680
243,339,Macon County Schools,5.6,4479,12,61.0,NC,,,3702760
244,498,Madison County Schools,7.2,2272,7,55.2,NC,,,3702820
245,412,Martin County Schools,3.4,3338,10,98.6,NC,Martin County Schools,Martin County Schools,3702880
246,207,McDowell County Schools,4.9,8994,25,62.7,NC,McDowell,McDowell County Schools,3702940
247,10,Charlotte-Mecklenburg Schools,5.0,149967,164,62.7,NC,,,3702970
248,544,Mitchell County Schools,5.7,1846,7,52.0,NC,,,3703000
249,373,Montgomery County Schools,5.3,3955,12,72.8,NC,,,3703060
250,154,Moore County Schools,5.0,12866,24,50.3,NC,Moore,Moore County Schools,3703090
251,274,Mooresville Graded School District,6.0,6059,8,37.3,NC,Mooresville,Mooresville City Schools,3703120
252,564,Mount Airy City Schools,6.0,1659,4,59.2,NC,,,3703210
253,133,Nash-Rocky Mount Schools,3.5,15061,29,80.6,NC,Nash-Rocky,Nash-Rocky Mount Schools,3703270
254,144,Craven County Schools,4.6,13719,25,59.0,NC,Craven,Craven County Schools,3703310
255,85,New Hanover County Schools,5.4,26095,44,65.8,NC,,,3703330
256,576,Northampton County Schools,3.6,1589,6,98.7,NC,,,3703420
257,81,Onslow County Schools,5.2,26864,35,50.6,NC,Onslow,Onslow County Schools,3703450
258,246,Orange County Schools,5.3,7429,12,45.5,NC,,,3703480
259,597,Pamlico County Schools,6.3,1350,4,84.0,NC,Pamlico,Pamlico County Schools,3703510
260,293,Elizabeth City-Pasquotank Public Schools,3.6,5557,13,72.0,NC,Pasquotank,Pasquotank County Schools,3703540
261,200,Pender County Schools,6.4,9430,18,61.2,NC,Pender,Pender County Schools,3703570
262,566,Perquimans County Schools,4.0,1650,4,56.0,NC,Perquimans,Perquimans County Schools,3703600
263,342,Person County Schools,4.7,4426,11,81.5,NC,Person,Person County Schools,3703630
264,504,Polk County Schools,6.7,2227,7,72.9,NC,,,3703720
265,368,Randolph County Schools,3.8,4053,16,53.5,WV,,,3703780
266,611,Richmond Co Public Schools,5.5,1314,3,74.0,VA,Richmond,Richmond County Schools,3703870
267,247,Richmond County Schools,5.3,7337,16,98.6,NC,,,3703870
268,440,Roanoke Rapids City Schools,4.0,2945,5,62.4,NC,,,3703900
269,102,Public Schools of Robeson County,3.8,22423,41,99.3,NC,Robeson,Robeson County Schools,3703930
270,158,Rockingham County Schools,4.8,12550,24,68.4,NC,,,3703990
271,109,Rowan-Salisbury Schools,3.6,19585,32,67.7,NC,Rowan-Salisbury,Rowan-Salisbury Schools,3704050
272,230,Rutherford County Schools,6.3,8063,18,99.0,NC,Rutherford,Rutherford County Schools,3704080
273,229,Sampson County Schools,5.6,8196,18,98.8,NC,Sampson,Sampson County Schools,3704140
274,277,Scotland County Schools,3.0,5999,12,98.1,NC,Scotland,Scotland County Schools,3704200
275,221,Stanly County Schools,6.0,8445,22,53.4,NC,Stanly,Stanly County Schools,3704320
276,282,Stokes County Schools,5.7,5921,18,52.6,NC,Stokes,Stokes County Schools,3704380
277,239,Surry County Schools,6.5,7810,19,63.5,NC,,,3704410
278,527,Swain County Schools,5.0,2044,5,54.2,NC,Swain,Swain County Schools,3704440
279,488,Thomasville City Schools,3.8,2362,4,98.0,NC,,,3704500
280,407,Transylvania County Schools,5.9,3390,9,57.2,NC,Transylvania,Transylvania County Schools,3704530
281,740,Tyrrell County Schools,4.3,653,3,98.3,NC,Tyrrell,Tyrrell County Schools,3704590
282,52,Union County Public Schools,6.8,41388,50,37.2,NC,,,3704620
283,257,Vance County Schools,4.7,6856,17,98.4,NC,,,3704650
284,7,Wake County Schools,5.0,161561,171,37.5,NC,,,3704720
285,532,Warren County Schools,3.9,1984,8,98.2,NC,,,3704740
286,580,Washington County Schools,3.8,1502,5,97.7,NC,,,3704800
287,326,Watauga County Schools,6.6,4708,10,38.1,NC,Watauga,Watauga County Schools,3704830
288,113,Wayne County Public Schools,4.5,18302,29,87.2,NC,,,3704880
289,687,Weldon City Schools,2.8,841,4,98.2,NC,Weldon,Weldon City Schools,3704890
290,496,Whiteville City Schools,4.7,2286,5,97.6,NC,Whiteville,Whiteville City Schools,3704920
291,199,Wilkes County Schools,5.7,9434,22,85.0,NC,,,3704950
292,174,Wilson County Schools,5.1,11146,26,67.5,NC,,,3705020
293,300,Yadkin County Schools,6.1,5352,13,59.7,NC,Yadkin,Yadkin County Schools,3705040
294,509,Yancey County Schools,5.6,2195,10,51.8,NC,Yancey,Yancey County Schools,3705070
295,435,Abbeville 60,6.7,3012,9,68.5,SC,Abbeville,District of Columbia Public Schools,4500690
296,90,Aiken 01,5.2,24820,42,74.5,SC,Aiken,Aiken County School District,4500720
297,644,Allendale 01,2.0,1120,4,100.0,SC,Allendale,Allendale County School District,4500750
298,187,Anderson 01,7.1,10210,14,40.0,SC,Anderson 01,Anderson School District 1,4500780
299,386,Anderson 02,5.3,3771,7,56.0,SC,Anderson 02,Anderson School District 2,4500810
300,467,Anderson 03,7.2,2599,5,82.2,SC,Anderson 03,Anderson School District 3,4500840
301,452,Anderson 04,7.2,2843,6,53.3,SC,Anderson 04,Anderson School District 4,4500870
302,145,Anderson 05,5.5,13647,21,71.9,SC,Anderson 05,Anderson School District 5,4500900
303,614,Bamberg 01,4.0,1299,3,100.0,SC,Bamberg 01,Bamberg School District 1,4500930
304,734,Bamberg 02,2.3,671,3,100.0,SC,Bamberg 02,Bamberg School District 2,4500960
305,721,Barnwell 19,3.0,731,3,98.0,SC,Barnwell 19,Barnwell School District 19,4501020
306,686,Barnwell 29,4.0,842,3,100.0,SC,Barnwell 29,Barnwell School District 29,4501050
307,508,Barnwell 45,3.5,2203,4,100.0,SC,Barnwell 45,Barnwell School District 45,4501080
308,308,Chester 01,3.6,5168,12,100.0,SC,Chester,Chester County School District,4501530
309,715,Clarendon 01,3.3,752,3,100.0,SC,Clarendon 01,Clarendon School District 1,4501740
310,443,Clarendon 02,2.4,2897,6,100.0,SC,Clarendon 02,Clarendon School District 2,4501770
311,612,Clarendon 03,5.0,1308,2,59.0,SC,Clarendon 03,Clarendon School District 3,4501800
312,294,Colleton 01,2.6,5534,9,100.0,SC,Colleton,Colleton County School District,4501830
313,190,Darlington 01,4.4,9970,22,100.0,SC,Darlington,Darlington County School District,4501860
314,360,Dillon 04,3.0,4134,8,100.0,SC,Dillon 04,Dillon School District 4,4501920
315,570,Dillon 03,4.0,1624,3,66.3,SC,Dillon 03,Dillon School District 3,4501950
316,408,Edgefield 01,3.9,3363,8,63.6,SC,Edgefield,Edgefield County School District,4502070
